vocab,kanji,meaning
うんどうします,運動します,vận động, tập thể thao
せいこうします,成功します,thành công
しっぱいします（しけんに～）,失敗します（試験に～）,thất bại, trượt
ごうかくします（しけんに～）,合格します（試験に～）,đỗ
もどります,戻ります,quay lại, trở lại
やみます（雨が～）,,"tạnh ,ngừng"
はれます,晴れます,nắng, quang đãng
くもります,曇ります,có mây, mây mù
ふきます（かぜが～）,吹きます（風が～）,thổi
なおります,治ります、直ります,khỏi
つづきます,,tiếp tục, tiếp diễn
ひやします,冷やします,làm lạnh
しんぱい（な）,心配（な）,lo lắng
じゅうぶん（な）,十分（な）,đủ
おかしい,,có vấn đề, không bình thường
うるさい,,ồn ào
やけど,,bỏng
けが,,bị thương
せき,,ho
インフルエンザ,,cúm dịch
そら,空,bầu trời
たいよう,太陽,mặt trời
ほし,星,ngôi sao
つき,月,mặt trăng
かぜ,風,gió
きた,北,phía bắc
みなみ,南,phía nam
にし,西,phía tây
ひがし,東,phía đông
すいどう,隧道,nước máy
エンジン,,động cơ
チーム,,đội
こんや,今夜,tối nay, đêm nay
ゆうがた,夕方,chiều tối
まえ,前,trước
おそく,遅く,muộn , khuya
こんなに,,như thế này
そんなに,,như thế đó
あんなに,,như thế kia
もしかしたら,,có thể, biết đâu là, có khả năng
それはいけませんね,,thế thì thật không tốt.
オリンピック,,olympic
げんき,元気,khỏe mạnh
い,胃,dạ dày
はたらきすぎ,働きすぎ,làm việc quá sức
ストレス,,stress, căng thẳng tâm lý
むりをします,無理をします,làm quá sức
ゆっくりします,,nghỉ ngơi, thư thái, dưỡng sức
ほしうらない,星占い,bói sao
おうしざ,牡牛座,chòm sao Kim Ngưu
こまります,困ります,rắc rối, khó xử, vấn đề
たからくじ,宝くじ,xổ số
あたります（たからくじが～）,当たります（宝くじが～）,trúng(số)
けんこう,健康,sức khỏe
れんあい,恋愛,tình yêu
こいびと,恋人,người yêu
（お）かねもち,お）金持ち,người giàu có
