vocab,kanji,meaning
かいます,飼います,"nuôi,chăn nuôi"
たてます,建てます,xây dựng
はしります,走ります,chạy
とります,取ります,xin(nghỉ)
みえます,見えます,có thể nhìn thấy
きこえます,聞こえます,có thể nghe thấy
できます,,"được hoàn thành,được làm"
ひらきます,開きます,"mở,tổ chức (lớp)"
ペット,,"thú cưng,động vật nuôi"
とり,鳥,chim
こえ,こえ,"tiếng,giọng nói"
なみ,波,sóng
はなび,花火,pháo hoa
けしき,景色,phong cảnh
ひるま,昼間,ban ngày
むかし,昔,ngày xưa
どうぐ,道具,dụng cụ
じどうはんばいき,自動販売機,máy bán hàng tự động
つうしんはんばい,通信販売,thương mại viễn thông
クリーニング,,giặt ủi
マンション,,chung cư
だいどころ,台所,nhà bếp
～後,～ご,sau…
～しか,,chỉ
～きょうしつ,～教室,lớp học
パーティールーム,,phòng tiệc
かんさいくうこう,関西空港,sân bay Kansai
あきはばら,秋葉原,khu bán đồ điện tử nổi tiếng ở Tokyo
いず,伊豆,một đảo thuộc tỉnh Shizuoka
にちようびだいく,日曜日大工,thợ mộc chủ nhật
ほんだな,本棚,"kệ sách,giá sách"
いつか,,một ngày nào đó
ゆめ,夢,mơ
いえ,家,nhà
すばらしい,開きます素晴らしい,tuyệt vời
こどもたち,子どもたち,bọn trẻ
だいすき,大好き,rất thích
まんが,漫画,truyện tranh
しゅじんこう,主人公,nhân vật chính
かたち,形,hình dạng
ロボット,景色,người máy
ふしぎな,不思議な,"kì lạ, thần bí"
ポケット,,túi
たとえば,例えば,ví dụ
つけます,付けます,lắp ghép
じゆうに,自由に,tự do
そら,空,bầu trời
とびます,飛びます,bay
じぶん,自分,tự mình
しょうらい,将来,tương lai
ドラえもん,,đô-rê-mon
