vocab,kanji,meaning
みます,見る,"xem,nhìn"
みます,診る,"chẩn đoán,khám bệnh"
さがします,捜す,tìm đồ vật bị mất
さがします,探す,"tìm,tìm kiếm (cv,người…)"
おくれます,（時間に）遅れる,trễ giờ
まにあいます,（会議に）間に合います,kịp giờ
やります,（宿題を）やります,làm bài tập
ひろいます,（ごみを）拾います,nhặt rác
れんらくします,（学校に）連絡します,liên lạc với trường học
きぶんがいい,気分がいい,"tâm trạng,thể trạng tốt"
きぶんがわるい,気分が悪い,"tâm trạng,thể trạng xấu"
うんどうかい,運動会,hội thi thể thao
ぼんおどり,盆踊り,lễ hội múa obon
フリーマーケット,,"chợ đồ cũ,chợ trời"
ばしょ,場所,"nơi chốn,địa điểm"
ボランティア,,"việc từ thiện,tình nguyện viên"
さいふ,財布,ví
ごみ,,rác
こっかいぎじどう,国会議事堂,tòa nhà quốc hội
へいじつ,平日/週末,ngày thường
おおさかべん　（ほうげん）,大阪弁(方言）,"tiếng osaka,tiếng địa phương"
こんど,今度,lần tới
ずいぶん,,"khá ,tương đối"
ちょくせつ,直接,trực tiếp
いつでも,,lúc nào cũng
どこでも,,ai cũng
だれでも,,nhất định
なんでも,,cái gì cũng
こんな…,,..như thế này
そんな…,,…như thế đó
あんな…,,…như thế kia
かたづきます,片付く,"sắp xếp,dọn dẹp"
だします,出す,"đổ,để (rác)"
もえるごみ,燃えるごみ,rác cháy được
おきば,置き場,"chỗ để,chỗ đặt"
よこ,横,bên cạnh
びん,瓶,cái chai
かん,缶,"cái lon,hộp kim loại"
ガス,,ga
ガスがいしゃ,ガス会社,cty ga
うちゅう,宇宙,vũ trụ
さま,田中様、お客様,"ngài,vị"
うちゅうせん,宇宙船,tàu vũ trụ
こわい,怖い,"sợ,đáng sợ"
ちがいます,違う,"khác,không phải"
うちゅうひこうし,宇宙飛行士,nhà du hành vũ trụ
