vocab,kanji,meaning
のぼります,登ります,leo (núi)
れんしゅうします,練習します,luyện tập, thực hành
そうじします,掃除します,dọn dẹp
せんたくします,洗濯します,giặt giũ
なります,,trở nên, trở thành
とまります,泊まります,trọ
ねむい,眠い,buồn ngủ
つよい,強い,mạnh
よわい,弱い,yếu
ちょうし,調子,tình trạng, trạng thái
ちょうしがわるい,調子が悪い,tình trạng xấu
ちょうしがいい,調子がいい,tình trạng tốt
おちゃ,お茶,trà đạo
すもう,相撲,vật sumo
パチンコ,,trò chơi pachinko
ゴルフ,,gôn
ひ,日,ngày
もうすぐ,,sắp sửa
だんだん,,dần dần
いちど,一度,một lần
いちども,一度も,chưa lần nào
おかげさまで,,Cám ơn (khi nhận được sự giúp đỡ)
かんぱい,乾杯,nâng cốc
じつは,実は,sự tình là
ダイエット,,ăn kiêng
なんかいも,何回も,nhiều lần
しかし,,tuy nhiên
むり「な」,無理「な」,quá sức
からだにいい,体にいい,tốt cho sức khỏe
ケーキ,,bánh ga-tô
