vocab,kanji,meaning
います,,có, ở (tồn tại, dùng cho người và động vật)
あります,,có (tồn tại, dùng cho đồ vật)
いろいろ[な],,nhiều, đa dạng
おとこのひと,男の人,người đàn ông
じょうず[な],上手[な],giỏi, khéo
おんなのひと,女の人,người đàn bà
おとこのこ,男の子,cậu con trai
おんなのこ,女の子,cô con gái
いぬ,犬,chó
ねこ,猫,mèo
き,木,cây, gỗ
もの,物,vật, đồ vật
フィルム,,phim
でんち,電池,pin
はこ,箱,hộp
スイッチ,,công tắc
れいぞうこ,冷蔵庫,tủ lạnh
テーブル,,bàn
ベッド,,giường
たな,棚,giá sách
ドア,,cửa
まど,窓,cửa sổ
ポスト,,hộp thư, hòm thư
ビル,,toà nhà
こうえん,公園,công viên
きっさてん,喫茶店,quán giải khát, quán cà-phê
ほんや,本屋,hiệu sách
～や,～屋,hiệu ~, cửa hàng ~
のりば,乗り場,bến xe, điểm lên xuống xe
けん,県,tỉnh
うえ,上,trên
した,下,dưới
まえ,前,trước
うしろ,後ろ,sau
みぎ,右,phải
ひだり,左,trái
なか,中,trong, giữa
そと,外,ngoài
となり,隣,bên cạnh
ちかく,近く,gần
あいだ,間,giữa
～や～[など],,~ và ~, [v.v.]
いちばん～,,~ nhất (いちばん うえ：vị trí cao nhất)
―だんめ,―段目,giá thứ -, tầng thứ – (dùng cho giá sách)
すみません,,xin lỗi
チリソース,,tương ớt (chili sauce)
