vocab,kanji,meaning
にげます,逃げます,chạy trốn, bỏ chạy
さわぎます,騒ぎます,làm ồn, làm rùm beng
あきらめます,,từ bỏ, đầu hàng
なげます,投げま,ném
まもります,守ります,bảo vệ, tuân thủ
あげます,上げます,nâng lên, tăng lên
さげます,下げます,hạ xuống, giảm xuống
つたえます,伝えます,truyền đạt
ちゅういします,注意します,chú ý
はずします,外します,rời, không có ở (chỗ ngồi)
だめ,,không được, không thể
せき,席,chỗ ngồi, ghế
ファイト（な）,,’quyết chiến’, ‘cố lên’
マーク,,kí hiệu
ボール,,quả bóng
せんたくき,洗濯機,máy giặt
-き,ー機,máy–
きそく,規則,quy tắc, kỷ luật
しようきんし,使用禁止,cấm sử dụng
たちいりきんし,立ち入り禁止,cấm vào
いりぐち,入口,cửa vào
でぐち,出口,cửa ra
ひじょうぐち,非常宇口,cửa thoát hiểm
むりょう,無料,miễn phí
ほんじつきゅうぎょう,本日休業,hôm nay đóng cửa, hôm nay nghỉ
えいぎょうちゅう,営業中,đang mở cửa
しようちゅう,使用中,đang sử dụng
-ちゅう,ー中,đang–
どういうー,,–gì, — thế nào
もう,,không—nữa
あと,,còn~
ちゅうしゃいはん,駐車違反,đỗ xe trái phép
そりゃあ,,thế thì ,ồ
～いない,～い内,~trong khoảng, ~trong vòng
けいさつ,警察,cảnh sát
ばっきん,罰金,tiền phạt
でんぽう,電報,điện báo
ひとびと,人々,nhiều người
きゅうよう,急用,việc gấp
うちます（でんぽうを）,打ちます（電報を）,gửi(điện báo)
でんぽうだい,電報代,phí điện báo
できるだけ,,cố gắng, trong khả năng có thể
みじかく,短く,ngắn gọn
また,,thêm nữa
たとえば,例えば,ví dụ
キトク,危篤,tình trạng hiểm nghèo
おもいびょうき,重い病気,bệnh nặng
あす,明日,ngày mai
るす,留守,vắng nhà
るすばん,留守番,trông nhà, giữ nhà
(お）いわい,,việc mừng
なくなります,,mất, chết
かなしい,悲しい,buồn
りようします,利用します,sử dụng, lợi dụng, tận dụng
