vocab,kanji,meaning
います,,có (động vật)
かかります,,mất, tốn
やすみます,休みます,nghỉ ngơi
ひとつ,,1 cái (đồ vật)
ふたつ,,2 cái
みっつ,,3 cái
よっつ,,4 cái
いつつ,,5 cái
むっつ,,6 cái
ななつ,,7 cái
やっつ,,8 cái
ここのつ,,9 cái
とお,,10 cái
いくつ,,bao nhiêu cái
ひとり,一人,1 người
ふたり,二人,2 người
～にん,～人,～ người
～だい,,～ cái, chiếc (máy móc)
～まい,,～ tờ (vật mỏng như áo, giấy…)
～かい,,～ lần, tầng lầu
りんご,,quả táo
みかん,,quýt
サンドイッチ,,sandwich
カレー(ライス),,(cơm) cà ri
アイスクリーム,,kem
きって,切手,tem
はがき,葉書,bưu thiếp
ふうとう,封筒,phong bì
そくたつ,速達,chuyển phát nhanh
かきとめ,書留,gửi bảo đảm
