vocab,kanji,meaning
ばんせん,―番線,sân ga số –
いきます,行きます,đi
きます,来ます,đến
かえります,帰ります,về
がっこう,学校,trường học
スーパー,,siêu thị
えき,駅,ga, nhà ga
ひこうき,飛行機,máy bay
ふね,船,thuyền, tàu thủy
でんしゃ,電車,tàu điện
ちかてつ,地下鉄,tàu điện ngầm
しんかんせん,新幹線,tàu Shinkansen (siêu tốc)
バス,,xe buýt
タクシー,,tắc-xi
じてんしゃ,自転車,xe đạp
あるいて,歩いて,đi bộ
ひと,人,người
ともだち,友達,bạn bè
かれ,彼,anh ấy, bạn trai
かのじょ,彼女,chị ấy, bạn gái
かぞく,家族,gia đình
せんしゅう,先週,tuần trước
こんしゅう,今週,tuần này
らいしゅう,来週,tuần sau
せんげつ,先月,tháng trước
こんげつ,今月,tháng này
らいげつ,来月,tháng sau
きょねん,去年,năm ngoái
ことし,,năm nay
らいねん,来年,năm sau
―がつ,―月,tháng –
なんがつ,何月,tháng mấy
ついたち,１日,ngày mồng 1
ふつか,２日,ngày mồng 2 / 2 ngày
みっか,３日,ngày mồng 3 / 3 ngày
よっか,４日,ngày mồng 4 / 4 ngày
いつか,５日,ngày mồng 5 / 5 ngày
むいか,６日,ngày mồng 6 / 6 ngày
なのか,７日,ngày mồng 7 / 7 ngày
ようか,８日,ngày mồng 8 / 8 ngày
ここのか,９日,ngày mồng 9 / 9 ngày
とおか,１０日,ngày mồng 10 / 10 ngày
じゅうよっか,１４日,ngày 14 / 14 ngày
はつか,２０日,ngày 20 / 20 ngày
にじゅうよっか,２４日,ngày 24 / 24 ngày
―にち,―日,ngày –, – ngày
なんにち,何日,ngày mấy / bao nhiêu ngày
いつ,,bao giờ, khi nào
たんじょうび,誕生日,sinh nhật
ふつう,普通,tàu thường
きゅうこう,急行,tàu tốc hành
とっきゅう,特急,tàu tốc hành đặc biệt
つぎの,次の,tiếp theo
どういたしまして,,không có chi
