vocab,kanji,meaning
おぼえます,覚えます,nhớ
わすれます,忘れます,quên
なくします,,mất, đánh mất
[レポートを] だします,出します,nộp (báo cáo)
はらいます,払います,trả tiền
かえします,返します,trả lại
でかけます,出かけます,ra ngoài
ぬぎます,脱ぎます,cởi (quần áo, giầy)
もっていきます,持って行きます,mang đi
もってきます,持って来ます,mang đến
しんぱいします,心配します,lo lắng
ざんぎょうします,残業します,làm thêm giờ
しゅっちょうします,出張します,đi công tác
[くすりを] のみます,「薬を」飲みます,uống thuốc
[おふろに] はいります,「おふろに」入ります,tắm bồn
たいせつ[な],大切「な」,quan trọng
だいじょうぶ[な],大丈夫「な」,không sao, không có vấn đề gì
あぶない,危ない,nguy hiểm
もんだい,問題,vấn đề
こたえ,答え,câu trả lời
きんえん,禁煙,cấm hút thuốc
[けんこう] ほけんしょう,健康保険証,thẻ bảo hiểm (y tế)
かぜ,風,cảm, cúm
ねつ,熱,sốt
びょうき,病気,ốm, bệnh
くすり,薬,thuốc
[お]ふろ,,bồn tắm
うわぎ,上着,áo khoác
したぎ,下着,quần áo lót
せんせい,先生,bác sĩ
２、３にち,２、３日,vài ngày
２、３～,,vài –
～までに,,trước ~ (chỉ thời gian)
ですから,,vì thế, vì vậy, do đó
どうしましたか,,Có vấn đề gì?/Anh/Chị bị làm sao?
[～が] いたいです,,Tôi bị đau ~
のど,,họng
おだいじに,,Anh/chị nhớ giữ gìn sức khỏe (nói với người bị ốm)
