vocab,kanji,meaning
おもいます,思います,nghĩ
いいます,言います,nói
たります,足ります,đủ
かちます,勝ちます,thắng
まけます,負けます,thua
あります,,được tổ chức
やくにたちます,役に立ちます,giúp ích
むだ,,vô ích
ふべん,不便,bất tiện
おなじ,同じ,giống
すごい,,giỏi
しゅしょう,首相,thủ tướng
だいとうりょう,大統領,tổng thống
せいじ,政治,chính trị
ニュース,,tin tức
スピーチ,,bài phát biểu
しあい,試合,trận đấu
アルバイト,,việc làm thêm
いけん,意見,ý kiến
はなし,話,câu chuyện
ユーモア,,hài hước
デザイン,,thiết kế
こうつう,交通,giao thông
ラッシュ,,giờ cao điểm
さいきん,最近,gần đây
たぶん,,chắc, có thể
きっと,,chắc chắn, nhất định
ほんとうに,本当に,thật sự
そんなに,,(không) ~ lắm
～について,,theo ~ về
しかたがありません,,không còn cách nào khác
しばらくですね,,lâu rồi không gặp
～でものみませんか,～でも飲みませんか,Anh/chị uống (cà phê, rượu hay cái gì đó) nhé
みないと。。。,見ないと。。。,phải xem...
もちろん,,tất nhiên
カンガルー,,Kanguru
