vocab,kanji,meaning
おきます,,thức dậy
ねます,寝ます,ngủ
はたらきます,働きます,làm việc
やすみます,休みます,nghỉ ngơi
べんきょうします,勉強します,học tập
おわります,終わります,kết thúc
デパート,,cửa hàng bách hóa
ぎんこう,銀行,ngân hàng
ゆうびんきょく,郵便局,bưu điện
としょかん,図書館,thư viện
びじゅつかん,美術館,viện bảo tàng
でんわばんごう,電話番号,số điện thoại
なんばん,何番,số mấy
いま,今,bây giờ
～じ,～時,~giờ
～ふん / ～ぷん,～分,~phút
はん,半,phân nửa
なんじ,何時,mấy giờ
なんぷん,何分,mấy phút
ごぜん,午前,sáng (AM)
ごご,午後,chiều (PM)
あさ,朝,sáng
ひる,昼,trưa
ばん,晩,tối
よる,夜,tối
おととい,,ngày hôm kia
きのう,,ngày hôm qua
きょう,今日,hôm nay
あした,明日,ngày mai
あさって,,ngày mốt
けさ,今朝,sáng nay
こんばん,,tối nay
ゆうべ,,tối hôm qua
やすみ,休み,nghỉ ngơi (danh từ)
ひるやすみ,昼休み,nghỉ trưa
まいあさ,毎朝,mỗi sáng
まいばん,毎晩,mỗi tối
まいにち,毎日,mỗi ngày
ペキン,,Bắc Kinh
バンコク,,Bangkok
ロンドン,,Luân Đôn
ロサンゼルス,,Los Angeles
たいへんですね,大変ですね,vất vả nhỉ
ばんごうあんない,,dịch vụ 116 (hỏi số điện thoại)
おといあわせ,,(số điện thoại) bạn muốn biết / hỏi là
