vocab,kanji,meaning
たべます,食べます,ăn
のみます,飲みます,uống
すいます,吸います,hút [thuốc lá]
みます,見ます,xem, nhìn, trông
ききます,聞きます,nghe
よみます,読みます,đọc
かきます,書きます,viết, vẽ
かいます,買います,mua
とります,撮ります,chụp [ảnh]
します,,làm
あいます,会います,gặp [bạn]
ごはん,,cơm, bữa ăn
あさごはん,朝ごはん,cơm sáng
ひるごはん,昼ごはん,cơm trưa
ばんごはん,晩ごはん,cơm tối
パン,,bánh mì
たまご,卵,trứng
にく,肉,thịt
さかな,魚,cá
やさい,野菜,rau
くだもの,果物,hoa quả, trái cây
みず,水,nước
おちゃ,お茶,trà (nói chung)
こうちゃ,紅茶,trà đen
ぎゅうにゅう,牛乳,sữa bò
ジュース,,nước hoa quả
ビール,,bia
おさけ,お酒,rượu, rượu sake
ビデオ,,video, băng video, đầu video
えいが,映画,phim, điện ảnh
ＣＤ,,đĩa CD
てがみ,手紙,thư
レポート,,báo cáo
しゃしん,写真,ảnh
みせ,店,cửa hàng, tiệm
レストラン,,nhà hàng
にわ,庭,vườn
しゅくだい,宿題,bài tập về nhà
テニス,,quần vợt
サッカー,,bóng đá
おはなみ,お花見,ngắm hoa anh đào
なに,何,cái gì, gì
いっしょに,,cùng, cùng nhau
ちょっと,,một chút
いつも,,luôn luôn
ときどき,時々,thỉnh thoảng
それから,,sau đó, tiếp theo
ええ,,vâng, được
いいですね。,,Được đấy nhỉ / hay quá
わかりました。,,Tôi hiểu rồi / vâng ạ
なんですか,何ですか。,Có gì đấy ạ? / cái gì vậy?
じゃ、また[あした]。,,"Hẹn gặp lại [ngày mai]"
メキシコ,,Mexico
