vocab,kanji,meaning
とどきます,届きます,được gửi đến, được chuyển đến
でます,出ます,tham gia, tham dự
うちます,打ちます,đánh
ちょきんします,彫金ます,tiết kiệm tiền, để dành tiền
ふとります,太ります,béo lên, tăng cân
やせます,,gầy đi, giảm cân
すぎます,過ぎます,quá
なれます,,làm quen, quen
かたい,固い,cứng
やわらかい,軟らかい,mềm
でんしー,電子ー,– điện tử
けいたいー,携帯ー,– cầm tay
こうじょう,工場,nhà máy, phân xưởng
けんこう,健康,sức khỏe
けんどう,剣道,kiếm đạo
まいしゅう,毎週,hàng tuần
まいつき,毎月,hàng tháng
まいとし,毎年,hàng năm
やっと,,cuối cùng thì
かなり,,khá, tương đối
かならず,必ず,nhất định
ぜったいに,絶対に,tuyệt đối
じょうずに,上手に,giỏi, khéo
できるだけ,,cố gắng
このごろ,,gần đây, dạo này
そのほうがー,,cái đó–hơn
おきゃくさま,お客様,khách hàng
とくべつ（な）,特別（な）,đặc biệt
していらっしゃいます,,đang làm (tôn kính ngữ của しています）
すいえい,水泳,môn bơi lội
～とか、～とか,,như là...và～và
タンゴ,,tango
チャレンジします,,thách thức, thử thách
きもち,気持ち,cảm giác, tâm trạng, tinh thần
のりもの,乗り物,phương tiện đi lại
れきし,歴史,lịch sử
ーせいき,ー世紀,thế kỉ-
とおく,とおく,xa, ở xa
きしゃ,汽車,tàu hỏa chạy bằng hơi nước
きせん,汽船,thuyền chạy bằng hơi nước
おおぜいの（ひと）,大勢の（人）,nhiều(người)
はこびます,運びます,vận chuyển
あんぜん（な）,あんぜん（な）,an toàn
とびます,飛びます,bay
うちゅう,宇宙,vũ trụ
ちきゅう,地球,trái đất
