vocab,kanji,meaning
あきます,開きます,mở (cửa)
しまります,閉まります,đóng(cửa)
つきます,,bật,thắp sáng(đèn)
きえます,消えます,tắt(đèn)
こみます,込みます,đông(đường)
すきます,,vắng(đường)
こわれます,壊れます,hỏng(ghế)
われます,割れます,vỡ(cốc)
おれます,折れます,gãy(cây)
やぶれます,破れます,rách(giấy)
よごれます,汚れます,dơ,bẩn(tay)
つきます,付きます,dính, đính (có túi)
はずれます,外れます,tuột,bung,rời ra(sút nút)
とまります,止まります,dừng
まちがえます,,nhầm lẫn,sai
おとします,落とします,làm rơi,rớt
かかります,掛かります,khóa
ふきます,,lau(cửa)
とりかえます,,thay(pin)
かたづけます,片付けます,dọn dẹp
さら　（おさら）,皿,đĩa
ちゃわん　（おちゃわん）,茶碗,bát,chén
コップ,,cốc
ガラス,,ly
ふくろ,袋,túi
しょるい,書類,giấy tờ
えだ,枝,cành cây
えきいん,駅員,nhân viên nhà ga
こうばん,交番,đồn cảnh sát,bốt cảnh sát
スピーチ,,diễn văn
へんじ,返事,trả lời
おさきにどうぞ,お先にどうぞ,mời anh/chị cứ về trước
げんじものがたり,源氏物語,tiểu thuyết được viết thời heian
いまのでんしゃ,今の電車,tàu điện vừa chạy
わすれもの,忘れ物,đồ bỏ quên
このくらい,,cỡ tầm này,cỡ chừng này
がわ,側,phía…
ポケット,,túi
へん,辺,chỗ,vùng…
おぼえていません,覚えていません,tôi không nhớ
あみだな,網棚,giá để hành lý
たしか,確か,chắc là
ああ、よかった,,ôi, may quá
じしん,地震,động đất
かべ,壁,bức tường
はり,針,kim đồng hồ
さします,付けます,chỉ
えきまえ,駅前,trước ga
たおれます,倒れます,đổ
にしのほう,西の方,phía tây
もえます,燃えます,cháy
