vocab,kanji,meaning
なきます,泣きます,khóc
わらいます,笑います,cười
かわきます,乾きます,khô
ぬれます,,ướt
すべります,滑ります,trượt chân
おきます,起きます,xảy ra
ちょうせつします,調節します,điều chỉnh
あんぜん［な］,安全［な］,an toàn
ていねい［な］,丁寧［な］,lịch sự
こまかい,細かい,nhỏ
こい,濃い,đậm; nồng
うすい,薄い,nhạt; lợt
くうき,空気,không khí
なみだ,涙,nước mắt
わしょく,和食,món ăn Nhật
ようしょく,洋食,đồ Tây
おかず,,thức ăn
りょう,量,lượng
…ばい,倍,lần
はんぶん,半分,một nửa
シングル,,phòng đơn
ツイン,,phòng đôi
たんす,,tủ quần áo
せんたくもの,洗濯物,đồ giặt
りゆう,理由,lý do
どう なさいますか,,tôi có thể giúp gì cho ông?
カット,,cắt tóc
シャンプー,,xà-bông gội đầu
どういうふうに なさいますか,,ông muốn làm ra sao？
ショート,,ngắn
～みたいに して ください,,xin làm giống như
これで よろしいでしょうか,,thế này được chưa ạ?
［どうも］お疲れさまでした,,cám ơn đã làm cho tôi
いやがります,嫌がります,ghét
また,,và
じゅんじょ,順序,thứ tự
ひょうげん,表現,cách nói
たとえば,例えば,ví dụ
わかれます,別れます,chia cách; chia tay
これら,,những thứ này
えんぎが わるい,縁起が 悪い,điềm xấu
