vocab,kanji,meaning
ほめます,褒めます,khen
しかります,,mắng
さそいます,誘います,mời, rủ rê
おこします,起こします,đánh thức
しょうたいします,招待します,mời
たのみます,頼みます,nhờ
ちゅういします,注意します,chú ý, nhắc nhở
とります,,ăn trộm , lấy cắp
ふみます,踏みます,giẫm , giẫm lên
こわします,壊します,phá, làm hỏng
よごします,汚します,làm bẩn
おこないます,行います,thực hiện, tiến hành
ゆしゅつします,輸出します,xuất khẩu
ゆにゅうします,輸入します,nhập khẩu
ほんやくします,翻訳します,dịch (sách, tài liệu)
はつめいします,発明します,phát minh
はっけんします,発見します,phát kiến, tìm ra
せっけいします,設計します,thiết kế
こめ,米,gạo
むぎ,麦,lúa mạch
せきゆ,石油,dầu mỏ
げんりょう,原料,nguyên liệu
デート,,cuộc hẹn hò
どろぼう,泥棒,kẻ trộm
けいかん,警官,cảnh sát
けんちくか,建築家,kiến trúc sư
かがくしゃ,科学者,nhà khoa học
まんが,漫画,truyện tranh
せかいじゅう,世界中,khắp thế giới, toàn thế giới
―じゅう,ー中,khắp–
―によって,,do–
よかったですね,,may nhỉ
うめたてます,埋め立てます,lấp
ぎじゅつ,技術,kỹ thuật
とち,土地,đất, diện tích đất
そうおん,騒音,tiếng ồn
りようします,利用します,sử dụng
アクセス,,nối, giao thông đi đến
ドミニカ,,Dominica(tên một quốc gia ở Trung Mỹ)
ーせいき,ー世紀,thế kỉ-
ごうか（な）,豪華（な）,hào hoa,sang trọng
ちょうこく,彫刻,điêu khắc
ねむります,眠ります,ngủ
ほります,彫ります,khắc
なかま,仲間,bạn bè,đồng nghiệp
そのあと,,sau đó
いっしょうけんめい,一生懸命,cố gắng hết sức
ねずみ,,chuột
いっぴきもいません,一匹もいません,không có con nào cả
