vocab,kanji,meaning
たちます,立ちます,đứng
すわります,座ります,ngồi
つかいます,使います,dùng, sử dụng
おきます,置きます,đặt, để
つくります,作ります，造ります,làm, chế tạo, sản xuất
うります,売ります,bán
しります,知ります,biết
すみます,住みます,sống, ở
けんきゅうします,研究します,nghiên cứu
しって います,知って います,biết
すんで います [おおさかに～],住んで います [大阪に～],sống [ở Osaka]
しりょう,資料,tài liệu, tư liệu
カタログ,,ca-ta-lô
じこくひょう,時刻表,bảng giờ tàu chạy
ふく,服,quần áo
せいひん,製品,sản phẩm
ソフト,,phần mềm
せんもん,専門,chuyên môn
はいしゃ,歯医者,nha sĩ
とこや,床屋,hiệu cắt tóc
プレイガイド,,quầy bán vé (trong nhà hát)
どくしん,独身,độc thân
とくに,特に,đặc biệt
思い出します,,nhớ lại, hồi tưởng
ご家族,,gia đình (dùng cho người khác)
いらっしゃいます,,thể kính trọng của 「います」
高校,,trường trung học phổ thông
