vocab,kanji,meaning
うれます,売れます,bán
おどります,踊ります,nhảy
かみます,,nhai,cắn
えらびます,選びます,lựa,lựa chọn
かよいます,通います,đi học(đại học)
メモします,メモします,ghi chép lại,ghi lại
まじめ,真面目,nghiêm túc,đàng hoàng
ねっしん,熱心,nhiệt tình
えらい,偉い,vĩ đại, kính trọng
ちょうどいい,丁度いい,vừa đúng,vừa vặn
やさしい,優しい,hiền lành
しゅうかん,習慣,tập quán
けいけん,経験,kinh nghiệm
ちから,力,sức mạnh
にんき,人気,hâm mộ
かたち,形,hình dáng
いろ,色,màu sắc
あじ,味,vị
ガム,,kẹo cao su
しなもの,品物,hàng hóa
ねだん,値段,giá cả
きゅうりょう,給料,lương
ボーナス,,thưởng
ばんぐみ,番組,chương trình(truyền hình,phát thanh,..)
ドラマ,,kịch,phim truyền hình
しょうせつ,小説,tiểu thuyết
しょうせつか,小説家,tiểu thuyết gia
かしゅ,歌手,ca sĩ
かんりにん,管理人,người quản lí
むすこ,息子,con trai(dùng cho mình)
むすこさん,息子さん,con trai(dùng cho người khác)
むすめ,娘,con gái(dùng cho mình)
むすめさん,娘さん,con gái(dùng cho người khác)
じぶん,自分,bản thân
しょうらい,将来,tương lai
しばらく,,một khoảng thời gian ngắn, một chút, một lát
たいてい,,thường, thông thường
それに,,ngoài ra
それで,,do đó
「ちょっと」おねがいがあるんですが,「ちょっと」お願いがあるんですが,tôi có chút việc muốn nhờ anh chị
ホームステイ,,homestay
かいわ,会話,hội thoại
おしゃべりします,おしゃべりします,trò chuyện
おしらせ,お知らせ,thông báo
ひにち,日にち,ngày
ど,土,thứ 7
たいいくかん,体育館,phòng thể dục
むりょう,無料,miễn phí
