vocab,kanji,meaning
できます,,có thể
あらいます,洗います,rửa
ひきます,弾きます,chơi (chơi 1 loại nhạc cụ)
うたいます,歌います,hát
あつめます,集めます,sưu tập
すてます,捨てます,vứt
かえます,,đổi
うんてんします,運転します,lái xe
よやくします,予約します,đặt chỗ trước
けんがくします,見学します,tham quan mục đích học tập
こくさい～,国際,quốc tế
げんきん,現金,tiền mặt
しゅみ,趣味,sở thích
にっき,日記,nhật kí
いのり,祈り,cầu nguyện
かちょう,課長,tổ trưởng
ぶちょう,部長,trưởng phòng
しゃちょう,社長,giám đốc
どうぶつ,動物,động vật
うま,馬,ngựa
へえ,,thế à
ピアノ,,đàn piano
―メートル,,mét
それはおもしろいですね,,Hay nhỉ
ぼくじょう,牧場,trang trại
ほんとうですか,本当ですか,thật không?
ぜひ,,nhất định
