vocab,kanji,meaning
[ビザが～」いります,要ります,cần (visa)
しらべます,調べます,tìm hiểu, điều tra
なおします,直します,sửa, chữa
しゅうりします,修理します,sửa chữa, tu sửa
でんわします,電話します,gọi điện thoại
ぼく,僕,tớ
きみ,君,cậu, bạn
～くん,～君,(hậu tố theo sau tên của em trai)
うん,,có (thân mật của “はい”)
ううん,,không (thân mật của “いいえ”)
サラリーマン,,người làm việc cho các công ty
ことば,言葉,từ, tiếng
ぶっか,物価,giá cả, mức giá
きもの,着物,kimono (trang phục truyền thống Nhật Bản)
ビザ,,visa
はじめ,始め,bắt đầu
おわり,終わり,kết thúc
こっち,,phía này
そっち,,phía đó
あっち,,phía kia
どっち,,ở đâu
このあいだ,この間,hôm nọ
みんなで,,mọi người cùng nhau
～けど,,nhưng (thân mật của “が”)
くにへかえるの,国へ帰るの,Anh/chị có về nước không?
どうするの,,Anh/chị tính sao?
どうしようかな,,Tính sao đây / Để tôi xem
良かったら,,nếu anh/chị thích thì
いろいろ,色々,nhiều thứ, đa dạng
