vocab,kanji,meaning
みにくい,,Xấu
ハンサム(な),,đẹp trai
きれい(な),,đẹp, sạch
しずか(な),静か(な),yên tĩnh
にぎやか(な),賑やか(な),nhộn nhịp
ゆうめい(な),有名(な),nổi tiếng
しんせつ(な),親切(な),tử tế
げんき(な),元気(な),khỏe
ひま(な),暇(な),rảnh rỗi
いそがしい,忙しい,bận rộn
べんり(な),便利(な),tiện lợi
すてき(な),,tuyệt vời
おおきい,大きい,to, lớn
ちいさい,小さい,nhỏ, bé
あたらしい,新しい,mới
ふるい,古い,cũ
いい,,tốt
わるい,悪い,xấu
あつい,熱い,nóng
つめたい,冷たい,lạnh
あつい,暑い,(trời) nóng
さむい,寒い,(trời) lạnh
むずかしい,難しい,khó
やさしい,優しい,dễ
きびしい,,nghiêm khắc
やさしい,,dịu dàng, hiền từ
たかい,高い,đắt
やすい,安い,rẻ
ひくい,低い,thấp
たかい,高い,cao
おもしろい,,thú vị
おいしい,,ngon
たのしい,楽しい,vui vẻ
しろい,白い,trắng
くろい,黒い,đen
あかい,赤い,đỏ
あおい,青い,xanh
さくら,桜,hoa anh đào
やま,山,núi
まち,町,thành phố
たべもの,食べ物,thức ăn
ところ,所,chỗ
りょう,,ký túc xá
べんきょう,勉強,học tập
せいかつ,生活,cuộc sống
(お)しごと,お仕事,công việc
どう,,như thế nào
どんな,,～nào
どれ,,cái nào
