vocab,kanji,meaning
かんたん「な」,簡単「な」,Đơn giản, dễ
ちかい,近い,gần
とおい,遠い,xa
はやい,速い、早い,nhanh, sớm
おそい,遅い,chậm, muộn
おおい [ひとが～],多い [人が～],nhiều [người]
すくない [ひとが～],少ない [人が～],ít [người]
あたたかい,温かい、暖かい,ấm
すずしい,涼しい,mát
あまい,甘い,ngọt
からい,辛い,cay
おもい,重い,nặng
かるい,軽い,nhẹ
いい [コーヒーが～],,thích, chọn, dùng [cafe]
きせつ,季節,mùa
はる,春,mùa xuân
なつ,夏,mùa hè
あき,秋,mùa thu
ふゆ,冬,mùa đông
てんき,天気,thời tiết
あめ,雨,mưa
ゆき,雪,tuyết
くもり,曇り,có mây
ホテル,,khách sạn
くうこう,空港,sân bay
うみ,海,biển, đại dương
せかい,世界,thế giới
パーティー,,tiệc (~をします：tổ chức tiệc)
(お) まつり,(お) 祭り,lễ hội
すきやき,すき焼き,Sukiyaki (món thịt bò nấu rau)
さしみ,刺身,Sashimi (món gỏi cá sống)
「お」すし,,Sushi
てんぷら,,Tempura (món hải sản và rau chiên tẩm bột)
いけばな,生け花,Nghệ thuật cắm hoa (~をします：cắm hoa)
もみじ,紅葉,lá đỏ
どちら,,cái nào
どちらも,,cả hai
ずっと,,hẳn, nhấn mạnh sự khác biệt
はじめて,初めて,lần đầu tiên
ただいま。,,"Tôi đã về đây."
おかえりなさい。,お帰りなさい。,Anh/Chị đã về đấy à.
すごいですね。,,Ghê quá nhỉ./ Hay quá nhỉ.
つかれました,つかれました。,Tôi mệt rồi
ホンコン,,Hồng Kông
シンガポール,,Singapore
