vocab,kanji,meaning
はります,,dán
かけます,掛けます,treo
かざります,飾ります,trang trí
ならべます,並べます,xếp thành hàng
うえます,植えます,trồng (cây)
もどします,戻します,đưa về, trả về
まとめます,,nhóm lại, tóm tắt
かたづけます,方づけます,dọn dẹp, sắp xếp
しまいます,,cất vào, để vào
きめます,決めます,quyết định
しらせます,知らせます,thông báo
そうだんします,祖横断します,thảo luận, trao đổi , bàn bạc
よしゅうします,予習します,chuẩn bị bài mới
ふくしゅうします,復習します,ôn bài cũ
そのままにします,,để nguyên như thế
おこさん,お子さん,con (dùng đối với người khác)
じゅぎょう,授業,giờ học
こうぎ,講義,bài giảng
ミーテイング,,cuộc họp
よてい,予定,kế hoạch, dự định
おしらせ,お知らせ,bản thông báo
あんないしょ,案内書,tài liệu hướng dẫn
カレンダー,,lịch , tờ lịch
ポスター,,tờ quảng cáo, tờ áp phích
ごみばこ,ごみ箱,thùng rác
にんぎょう,人形,con búp bê, con rối
かびん,花瓶,lọ hoa
かがみ,鏡,cái gương
ひきだし,引き出し,ngăn kéo
げんかん,玄関,cửa vào
ろうか,廊下,hành lang
かべ,壁,bức tường
いけ,池,cái ao
こうばん,交番,trạm cảnh sát
もとのところ,元の　所,địa điểm ban đầu
まわり,周り,xung quanh
まんなか,真ん中,giữa, trung tâm
すみ,,góc
まだ,,chưa
-ほど,,chừng—
よていひょう,予定表,thời khóa biểu
ごくろうさま,,anh, chị đã làm việc vất vả/cảm ơn anh, chị
きぼう,希望,hi vọng, nguyện vọng
なにかごきぼうがありますか,何かご希望がありますか,anh/chị có nguyện vọng gì không?
ミュージカル,,ca kịch
それはいいですな,,Hay quá nhỉ
まるい,丸い,tròn
つき,月,mặt trăng
ちきゅう,地球,trái đất
うれしい,,vui
いや（な）,,chán, ghét, không chấp nhận được
すると,,sau đó, tiếp đó
めがさめます,目が覚めます,tỉnh giấc, mở mắt
