vocab,kanji,meaning
いただきます,,nhận (kính ngữ của もらいます）
くださいます,,cho, tặng (kính ngữ của くれます）
やります,,cho (hạ bối hoặc cây cỏ, động vật）
よびます,呼びます,mời
とりかえます,取り替えます,đổi, thay
しんせつに します,親切に します,thân thiện, thân thiết
かわいい,,xinh, đáng yêu
おいわい（をします）,お祝い,quà; quà mừng
おとしだま,お年玉,tiền mừng tuổi
［お］みまい,［お］見舞い,thăm người ốm
きょうみ,興味,có hứng thú với, quan tâm đến
じょうほう,情報,thông tin
ぶんぽう,文法,ngữ pháp
はつおん,発音,phát âm
さる,猿,con khỉ
えさ,,mồi; thức ăn
おもちゃ,,đồ chơi
えほん,絵本,truyện tranh
えはがき,絵はがき,bưu ảnh
ドライバー,,đồ vặn ốc; tua-vít
ハンカチ,,khăn tay
くつした,靴下,vớ
てぶくろ,手袋,găng tay
ゆびわ,指輪,nhẫn
バッグ,,túi xách
そふ,祖父,ông (của mình)
そぼ,祖母,bà (của mình)
まご,孫,cháu
おじ,,chú, bác, cậu (của mình)
おじさん,,chú, bác, cậu (của người khác)
おば,,cô, dì (của mình)
おばさん,,cô, dì (của người khác)
おととし,,năm ngoái
はあ,,vâng, tôi hiểu rồi
もうしわけ ありません,申し訳 ありません,Xin lỗi
あずかります,預かります,bảo quản; thu nhận; giữ giùm
せんじつ,先日,ngày kia
たすかります,助かります,giúp đỡ
むかしばなし,昔話,truyền thuyết; cổ tích
ある~,,có một~
おとこ,男,con trai; đàn ông
こどもたち,子どもたち,con nít; con cái
いじめます,,chọc ghẹo; chọc phá
かめ,烏龜,con rùa
たすけます,助けます,cứu; giúp
［お］しろ,[お］城,lâu đài; thành
おひめさま,お姫様,công chúa
たのしく,楽しく,vui sướng
くらします,暮らします,sống
りく,陸,lục địa
すると,,rồi thì
けむり,煙,khói
まっしろ［な］,真っ白［な］,trắng xoá
なかみ,中身,nội dung; bên trong
