vocab,kanji,meaning
これ,,Cái này, đây (gần người nói)
それ,,Cái đó, đó (gần người nghe)
あれ,,Cái kia, kia (xa cả hai)
この~, ,~ này
その~, ,~ đó
あの~, ,~ kia
ほん,本,Sách
じしょ,辞書,Từ điển
ざっし,雑誌,Tạp chí
しんぶん,新聞,Báo
ノート,,Vở
てちょう,手帳,Sổ tay
めいし,名詞,Danh thiếp
カード,,Thẻ, cạc
テレホンカード,,Thẻ điện thoại
えんぴつ,鉛筆,Bút chì
ボールペン,,Bút bi
シャープペンシル,,Bút chì kim, bút chì bấm
かぎ,,Chìa khóa
とけい,時計,Đồng hồ
かさ,傘,Ô, dù
かばん,,Cặp sách, túi sách
[カセット] テープ,,Băng [cát-xét]
テープレコーダー,,Máy ghi âm
テレビ,,Tivi
ラジオ,,Radio
カメラ,,Máy ảnh
コンピュータ,,Máy vi tính
じどうしゃ,自動車,Ô tô, xe hơi
つくえ,机,Cái bàn
いす,,Ghế
チョコレート,,Chocolate
コーヒー,,Cà phê
えいご,英語,Tiếng Anh
にほんご,日本語,Tiếng Nhật
～ご,～語,Tiếng ~
なん,何,Cái gì
そう,,Đúng vậy
ちがいます,違います,Nhầm rồi
そうですか,,Thế à?
あのう,,,À… (do dự)
ほんのきもちです,ほんの気持ちです,Đây là chút quà nhỏ của tôi
どうぞ,,Xin mời
どうも,,Cảm ơn
[どうも] ありがとう[ございます],,[Cảm ơn nhiều]
これから おせわになります,これから お世話になります,Từ giờ mong được giúp đỡ
こちらこそ よろしく,,Chính tôi mới mong được giúp đỡ
