vocab,kanji,meaning
ききます「せんせいに」,聞きます,hỏi (giáo viên)
みち,道,đường
こうさてん,交差点,ngã tư
しんごう,信号,đèn tín hiệu
ひっこしします,引越しします,chuyển nhà
まわします,回します,vặn (nút)
ひきます,引きます,kéo
かえます,変えます,đổi
さわります,触ります,sờ ,chạm vào
でます,出ます,ra, đi ra
うごきます,動きます,chuyển động, chạy
あるきます,歩きます,đi bộ (trên đường)
わたります,渡ります,qua, đi qua (cầu)
きをつけます,気を付けます,chú ý, cẩn thận
でんきや,電気屋,cửa hàng đồ điện
こしょう,故障,hỏng
―や,ー屋,cửa hàng –
サイズ,,cỡ, kích thước
おと,音,âm thanh
きかい,機械,máy móc
つまみ,,núm vặn
かど,角,góc
はし,橋,cầu
ちゅうしゃじょう,駐車場,bãi đỗ xe
おしょうがつ,お正月,tết dương lịch
ごちそうさまでした,,xin cảm ơn anh/chị đã đãi tôi bữa cơm
ーめ,ー目,thứ ー, số ー (biểu thị thứ tự)
たてもの,建物,tòa nhà
がいこくじんとうろくしょう,外国人登録証,thẻ đăng kí người nước ngoài / thẻ đăng kí ngoại kiều
