vocab,kanji,meaning
そだてます,育てます,nuôi,trồng
はこびます,運びます,chở, vận chuyển
なくなります,亡くなります,mất, qua đời
にゅういんします,入院します,nhập viện
たいいんします,退院します,xuất viện
いれます,入れます,bật
きります,切ります,tắt
かけます,掛けます,khóa
きもちがいい,気持ちがいい,dễ chịu, thư giản
きもちがわるい,気持ちが悪い,khó chịu
おおきなー,大きなー,–to, –lớn
ちいさなー,小さなー,–nhỏ, –bé
あかちゃん,赤ちゃん,em bé
しょうがっこう,小学校,trường tiểu học
ちゅうがっこう,中学校,trường trung học cơ sở
えきまえ,駅前,khu vực trước nha ga
かいがん,海岸,bờ biển
うそ,,nói dối, lời nói dối
しょるい,書類,giấy tờ,tài liệu
でんげん,電源,nguồn điện , công tắc điện
―せい,,sản xuất tại–
あ、いけない,,Ôi, hỏng mất rồi./Ôi, trời ơi
おさきに,お先に,Tôi xin phép về trước
かいらん,回覧,Tập thông báo
けんきゅうしつ,研究者室,Phòng nghiên cứu
きちんと,,Nghiêm chỉnh, hẳn hoi, đứng đắn
せいりします,整理します,sắp xếp
はんこ,,con dấu, dấu
おします,押します,đóng(dấu)
ふたご,双子,cặp sinh đôi
しまい,姉妹,chị em
５ねんせい,5年生,học sinh năm thứ 5
にています,似ています,giống
せいかく,性格,tính cách
おとなしい,,hiền lành, trầm
せわをします,世話をします,chăm sóc , giúp đỡ
じかんがたちます,時間がたちます,thời gian trôi đi
だいすき,だいすき,rất thích
クラス,,lớp học, lớp
けんかします,,cãi nhau
ふしぎ（な）,不思議（な）,bí ẩn , kỳ thú, khó hiểu
