vocab,kanji,meaning
こたえます,答えます,trả lời
たおれます,倒れます,đổ
やけます,焼けます,cháy
やけます（パン/にくが～）,焼けます（パン/肉が～）,nướng
とおります,通ります,đi qua
しにます,死にます,chết
びっくりします,,ngạc nhiên, giật mình
がっかりします,,thất vọng
あんしんします,安心します,yên tâm
ちこくします,遅刻します,đến chậm , đến muộn
そうたいします,早退します,về sớm, ra sớm
けんかします,,cãi nhau
りこんします,離婚します,ly dị, ly hôn
ふくざつ（な）,複雑（な）,phức tạp
じゃま（な）,邪魔（な）,cản trở, chiếm diện tích
きたない,汚い,bẩn
うれしい,,vui mừng
かなしい,悲しい,buồn, đau thương
はずかしい,恥ずかしい,xấu hổ, thẹn, hổ thẹn
じしん,地震,động đất
たいふう,台風,bão
かじ,火事,hỏa hoạn
じこ,事故,tai nạn, sự cố
みあい,見合い,nam nữ làm quen qua giới thiệu, làm mối
でんわだい,電話代,tiền điện thoại, phí điện thoại
ーだい,ー代,phí ~
フロント,,bộ phận tiếp tân
―ごうしつ,ー号室,phòng số–
あせ,汗,mồ hôi
タオル,,khăn lau, khăn tắm
せっけん,,xà phòng
おおぜい,大勢,nhiều người
おつかれさまでした,お疲れさまでした,anh/chị đã vất vả rồi
うかがいます,伺います,tôi đến thăm
とちゅうで,途中で,giữa đường, giữa chừng
トラック,,xe tải
ぶつかります,,đâm , va chạm
ならびます,並びます,xếp hàng
おとな,大人,người lớn
ようふく,洋服,quần áo kiểu tây âu
せいようかします,西洋化します,tây âu hóa
あいます,合います,vừa, hợp
いまでは,今では,bây giờ (thì)
せいじんしき,成人式,lễ trưởng thành, lễ thành nhân
