vocab,kanji,meaning
みがきます,磨きます,mài, đánh (răng)
くみたてます,組み立てます,lắp ráp, lắp đặt
おります,折ります,gấp, gập, bẻ gãy
きがつきます,気が付きます,nhận thấy, phát hiện
つけます,付けます,chấm
みつかります,見つかります,được tìm thấy
します（ネクタイを）,,đeo , thắt
しつもんします,質問します,hỏi
ほそい,細い,gầy, hẹp, thon
ふとい,太い,béo, to
ぼんおどり,盆踊り,múa trong hội bon
スポーツクラブ,,câu lạc bộ thể thao
かぐ,家具,gia cụ , đồ dùng nội thất
キー,,chìa khóa
シートべルト,,dây an toàn
せつめいしょ,説明書,quyển hướng dẫn
ず,図,sơ đồ, hình vẽ
せん,線,đường
やじるし,矢印,dấu mũi tên
くろ,黒,màu đen
しろ,白,màu trắng
あか,赤,màu đỏ
あお,青,màu xanh da trời
こん,紺,màu xanh lam
きいろ,黄色,màu vàng
ちゃいろ,茶色,màu nâu
しょうゆ,,xì- dầu
ソース,,nước chấm, nước xốt
ゆうべ,,tối qua, đêm qua
さっき,,vừa rồi, vừa lúc nãy
さどう,茶道,trà đạo
おちゃをたてます,お茶をたてます,pha trà
さきに,今夜先に,trước
のせます,載せます,đặt lên
これでいいですか,,Thế này được không/đã được chưa
にがい,苦い,đắng
おやこどんぶり,親子どんぶり,món oyako-don
ざいりょう,材料,nguyên liêu
ーぶん,ー分,ーphần (biểu thị lượng)
とりにく,鶏肉,thịt gà
ーグラマ,,gam-
たまねぎ,,hành củ
４ぶんの１,４分の１,1/4 (một phần tư)
ちょうみりょう,調味料,gia vị
なべ,,nồi
ひ,火,lửa
ひにかけます,火にかけます,đun
にます,煮ます,nấu
にえます,煮えます,chín,được nấu
どんぶり,,bát ô tô lớn
